"state","general_lat","general_long","latitude","longitude","brightness","acq_date","acq_time","confidence","daynight","area"
"Victoria",-37,146,-37.3935,145.9529,348.5,"2009-02-21",46,95,"D",227000
"Victoria",-37,146,-37.4215,145.8296,351.5,"2010-03-17",103,96,"D",227000
"Victoria",-37,146,-37.3885,146.0847,350.8,"2009-03-02",458,95,"D",227000
"Victoria",-37,146,-37.3611,145.8635,359.5,"2009-02-16",27,99,"D",227000
"Victoria",-37,146,-36.5168,146.3825,349.5,"2012-03-30",14,96,"D",227000
"Victoria",-37,146,-37.1998,145.9805,345,"2010-05-21",424,94,"D",227000
"Victoria",-37,146,-37.4387,145.5989,459.1,"2007-04-06",404,94,"D",227000
"Victoria",-37,146,-37.3471,146.0381,355.1,"2009-03-01",415,98,"D",227000
"Victoria",-37,146,-37.2779,145.6374,395.6,"2007-05-09",33,94,"D",227000
"Victoria",-37,147,-37.3442,146.6063,348.3,"2006-12-13",1,95,"D",227000
